Restrição de Atendimento;Escola;Código INEP;UF;Município;Localização;Localidade Diferenciada;Categoria Administrativa;Endereço;Telefone;Dependência Administrativa;Categoria Escola Privada;Conveniada Poder Público;Regulamentação pelo Conselho de Educação;Porte da Escola;Etapas e Modalidade de Ensino Oferecidas;Outras Ofertas Educacionais;Latitude;Longitude
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEB PROF FLORISBELO NEVES;32052561;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Pública;"AVN ARCHITICLINO PASSAMANI, 1 NOVO PARQUE. 29309-085 Cachoeiro de Itapemirim - ES.";(28) 35227944;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado;-20.8352656;-41.1155697
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEB PROF PEDRO ESTELLITA HERKENHOFF;32052570;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA PEDRO VARGAS, 16 WALDIR FURTADO AMORIM. 29313-780 Cachoeiro de Itapemirim - ES.";(28) 35213169;Municipal;Não Informado;Não;Sim;Mais de 1000 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado;-20.8395561;-41.1577456
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEB PROF VALDY FREITAS;32052588;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA JOAO FASSARELLA, 01 PARAISO. 29304-072 Cachoeiro de Itapemirim - ES.";(28) 35179664;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado;-20.86289076;-41.12199121
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EEEF PROF AMELIA TOLEDO DO ROSARIO;32052596;ES;Cachoeiro de Itapemirim;Rural;A escola não está em área de localização diferenciada;Pública;"CORREGO DOS MONOS, SN ZONA RURAL. 29328-000 Cachoeiro de Itapemirim - ES.";(28) 35215127;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado;-20.8685841;-41.2069727
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EEEFM PROF HOSANA SALLES;32052618;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA HUMBERTO TIRELLO, 82 AEROPORTO. 29314-110 Cachoeiro de Itapemirim - ES.";(28) 35177045;Estadual;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos";;-20.8313409;-41.1760536
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EEEFM QUINTILIANO DE AZEVEDO;32052634;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA SAMUEL DUARTE, 02 SANTO ANTONIO. 29300-550 Cachoeiro de Itapemirim - ES.";(28) 35226520;Estadual;Não Informado;Não;Sim;Mais de 1000 matrículas de escolarização;"Ensino Fundamental, Educação de Jovens Adultos";Atendimento Educacional Especializado;-20.8463483;-41.12578
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EEEF ROTARY;32052642;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA NELSON BORELLI, 06 OTTON MARINS. 29301-822 Cachoeiro de Itapemirim - ES.";(28) 35223542;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado;-20.8481374;-41.1323211
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EEEF SANTA CECILIA;32052650;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA CABO TAVEIRA, SN ESCOLA. SANTA CECILIA. 29307-530 Cachoeiro de Itapemirim - ES.";;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado;-20.8408989;-41.1092388
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEB SAO FRANCISCO DE ASSIS;32052669;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA SANTINO SAMUEL DE AGUIAR, 102 SAO FRANCISCO DE ASSIS. 29317-485 Cachoeiro de Itapemirim - ES.";(28) 35268719;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado;-20.85234;-41.1414577
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEB PROFª JURACY CRUZ;32052677;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA SISYPHO SARDENBERG, 96 SAO LUIZ GONZAGA. 29306-868 Cachoeiro de Itapemirim - ES.";(28) 35181467;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";Atendimento Educacional Especializado;-20.8513183;-41.09194136
