Restrição de Atendimento;Escola;Código INEP;UF;Município;Localização;Localidade Diferenciada;Categoria Administrativa;Endereço;Telefone;Dependência Administrativa;Categoria Escola Privada;Conveniada Poder Público;Regulamentação pelo Conselho de Educação;Porte da Escola;Etapas e Modalidade de Ensino Oferecidas;Outras Ofertas Educacionais;Latitude;Longitude
ESCOLA PARALISADA;EMEB COUTINHO;32053665;ES;Cachoeiro de Itapemirim;Rural;Não Informado;Pública;"RUA CARLOS VIANNA, 0 COUTINHO. 29322-100 Cachoeiro de Itapemirim - ES.";;Municipal;Não Informado;Não;;;;;-20.7570407;-41.1948543
ESCOLA PARALISADA;EEUEF JABOTICABEIRA;32053673;ES;Cachoeiro de Itapemirim;Rural;Não Informado;Pública;"JABOTICABEIRA, 29323-000 Cachoeiro de Itapemirim - ES.";(28) 35152716;Estadual;Não Informado;Não;;;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEB MONTE ALEGRE;32053690;ES;Cachoeiro de Itapemirim;Rural;Área remanescente de quilombos;Pública;"RUA PROJETADA, S/Nº ZONA RURAL. MONTE ALEGRE. 29323-000 Cachoeiro de Itapemirim - ES.";;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";Atendimento Educacional Especializado;-20.7341752487742;-41.2687518638027
ESCOLA PARALISADA;EEUEF SANTA TEREZINHA;32053711;ES;Cachoeiro de Itapemirim;Rural;Não Informado;Pública;"FAZENDA BANANAL, 29323-000 Cachoeiro de Itapemirim - ES.";;Estadual;Não Informado;Não;;;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEB LUIZ SEMPRINI;32053720;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA DIOGO PIRES DE AMORIM, SN PACOTUBA. 29323-000 Cachoeiro de Itapemirim - ES.";(28) 35397021;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;"Atendimento Educacional Especializado, Atividade Complementar";-20.7641405;-41.2720618
ESCOLA PARALISADA;EEUEF - BANCA DE AREIA;32053770;ES;Cachoeiro de Itapemirim;Rural;Não Informado;Pública;"RUA DOUTOR BAPTISTA FLUMINENSE, CENTRO. 29300-130 Cachoeiro de Itapemirim - ES.";;Estadual;Não Informado;Não;;;;;;
ESCOLA PARALISADA;EEUEF - CAPOEIRAO;32053800;ES;Cachoeiro de Itapemirim;Rural;Não Informado;Pública;"CACHOEIRO DE ITAPEMIRIM-ES, 29323-000 Cachoeiro de Itapemirim - ES.";;Estadual;Não Informado;Não;;;;;;
ESCOLA PARALISADA;EEUEF COQUEIROS;32053819;ES;Cachoeiro de Itapemirim;Rural;Não Informado;Pública;"COQUEIROS, 29323-000 Cachoeiro de Itapemirim - ES.";(28) 35601106;Estadual;Não Informado;Não;;;;;;
ESCOLA PARALISADA;EEUEF - RETIRO FREITAS;32053827;ES;Cachoeiro de Itapemirim;Rural;Não Informado;Pública;"NULL RETIRO, ZONA RURAL. 29323-000 Cachoeiro de Itapemirim - ES.";;Estadual;Não Informado;Não;;;;;-20.69769;-41.27357
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEB SERTAO DE MONTE LIBANO;32053843;ES;Cachoeiro de Itapemirim;Rural;A escola não está em área de localização diferenciada;Pública;"RUA GENOFA AURORA COLLI BASTOS, S/N VARGEM GRANDE SOTURNO. 29325-000 Cachoeiro de Itapemirim - ES.";(28) 35391790;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-20.7432538;-41.1055446
ESCOLA PARALISADA;EEEF ANDRE LEANDRO SILOTTI;32053851;ES;Cachoeiro de Itapemirim;Rural;Não Informado;Pública;"VARGEM GRANDE DE SOTURNO, 29321-000 Cachoeiro de Itapemirim - ES.";(28) 35241241;Estadual;Não Informado;Não;;;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EEEFM ZACHEU MOREIRA DA FRAGA;32053860;ES;Cachoeiro de Itapemirim;Rural;A escola não está em área de localização diferenciada;Pública;"RUA JOELMAR DAROS, SN PREDIO. ZONA RURAL. 29321-000 Cachoeiro de Itapemirim - ES.";(28) 35241470;Estadual;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Ensino Fundamental, Ensino Médio";Atendimento Educacional Especializado;-20.7633816;-41.0595082
ESCOLA PARALISADA;EEUEF - COBICA;32053916;ES;Cachoeiro de Itapemirim;Rural;Não Informado;Pública;"SOTURNO, 29321-000 Cachoeiro de Itapemirim - ES.";;Estadual;Não Informado;Não;;;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEB PROFª LUCILLA ARAUJO MOREIRA;32064292;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA MARIA ROSA BRUM DE MATOS, 02 PARQUE LARANJEIRAS. 29317-020 Cachoeiro de Itapemirim - ES.";(28) 35268684;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;Atendimento Educacional Especializado;-20.84718225;-41.14294048
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEB CORREGO VERMELHO;32064756;ES;Cachoeiro de Itapemirim;Rural;A escola não está em área de localização diferenciada;Pública;"RUA JOSE FERNANDES, 0 CORREGO VERMELHO. ITAOCA PEDRA. 29325-000 Cachoeiro de Itapemirim - ES.";(28) 35391540;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";Atendimento Educacional Especializado;-20.7182825;-41.1363806
ESCOLA PARALISADA;EEEF CENTRO OPERARIO E DE PROTECAO MUTUA;32064853;ES;Cachoeiro de Itapemirim;Urbana;Não Informado;Pública;"RUA 25 DE MARCO, CENTRO. 29300-100 Cachoeiro de Itapemirim - ES.";;Estadual;Não Informado;Não;;;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEB Mª DAS VICTORIAS OLIVEIRA DE ANDRADE;32064861;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA JOSE BARBOSA, 56 JARDIM ITAPEMIRIM. 29315-722 Cachoeiro de Itapemirim - ES.";(28) 35268880;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil;;-20.8554804883897;-41.1536616459489
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEB VIRGINIA ATHAYDE COELHO;32064896;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA SAO PAULO, 10 ALTO AMARELO. 29304-380 Cachoeiro de Itapemirim - ES.";(28) 35228166;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-20.8568093;-41.1112746
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEB PROFª MARIA DO CARMO MAGALHAES;32064918;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA ALCEBIADES JOAQUIM FRANCISCO, 89 NOSSA SENHORA APARECIDA. 29306-729 Cachoeiro de Itapemirim - ES.";(28) 35182353;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";Atendimento Educacional Especializado;-20.8424265962094;-41.1010689754039
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEB PROF DEUSDEDIT BAPTISTA;32064926;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA CORINTHA GOMES DA SILVA, 39 CORAMARA. 29313-372 Cachoeiro de Itapemirim - ES.";(28) 35268635;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;Atividade Complementar;-20.835171262753;-41.1495629791554
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEB PROFª GERCIA FERREIRA GUIMARAES;32069685;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA JOAO DE BARRO, 08 FE E RACA. 29308-717 Cachoeiro de Itapemirim - ES.";(28) 35189430;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";Atendimento Educacional Especializado;-20.83058244;-41.12000225
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEB IRMA MARGARIDA;32069693;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA LEONARDO MELLO DA SILVA, 15 MONTE BELO. 29314-797 Cachoeiro de Itapemirim - ES.";(28) 35185890;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-20.8769475;-41.1037738
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEB SATURNINO RANGEL MAURO;32069707;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA SEBASTIAO CASTILHO, 108 ARARIGUABA. 29305-530 Cachoeiro de Itapemirim - ES.";(28) 35228798;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-20.8585276;-41.0969951
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEB DOLORES GONZALEZ VILLA;32069715;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA JULIO CERQUEIRA, S/N CONDURU. 29329-000 Cachoeiro de Itapemirim - ES.";(28) 35395270;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;Atendimento Educacional Especializado;-20.674446;-41.2055172
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEB SEBASTIAO DA ROSA MACHADO;32069740;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA FIORAVANTE SILOTTE, S/N VARGEM GRANDE DE SOTURNO. 29321-000 Cachoeiro de Itapemirim - ES.";(28) 35242351;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil;;-20.7674222;-41.062216
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEB LUIZ MARQUES PINTO;32070217;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA ALFREDO SECCO, 8 BOA VISTA. 29315-480 Cachoeiro de Itapemirim - ES.";(28) 35177101;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";Atendimento Educacional Especializado;-20.8348792372271;-41.1807921063155
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEB ZILDA SOARES MOURA;32070225;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA PAPA PAULO VI, 16 VILLAGE DA LUZ. 29309-366 Cachoeiro de Itapemirim - ES.";(28) 35189390;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil;;-20.8266707;-41.1185174
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEB SANDRA MONTEIRO VARGAS PIASSI;32070233;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA CARIRIS, 42 AQUIDABAN. 29308-210 Cachoeiro de Itapemirim - ES.";(28) 35228992;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-20.8422265620902;-41.1175125930458
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEB OLGA DIAS DA COSTA MENDES;32070241;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA JOAO VALDINO, 112 CASA. CORONEL BORGES. 29306-010 Cachoeiro de Itapemirim - ES.";(28) 35228129;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-20.85587779;-41.09506434
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEB Mª TEREZA BRANDAO DE MELLO;32070608;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA SALATIEL FRANCISCO DA SILVA, 11 PROXIMO A SELITA. BASILEIA. 29302-868 Cachoeiro de Itapemirim - ES.";(28) 35228047;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil;Atendimento Educacional Especializado;-20.8536798;-41.1231284
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEB Mª DAS NEVES SOARES DE ALBUQUERQUE ESPINDULA;32070616;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA JOSE NUNES SOBRINHO, 281 ALTO UNIAO. 29315-010 Cachoeiro de Itapemirim - ES.";(28) 35228045;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil;;-20.8804874;-41.0990294
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEB DRª RITA DE CASSIA VIEIRA VEREZA;32070624;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA MARCIONILIO ALVES, 12 DR GILSON CARONE. 29310-562 Cachoeiro de Itapemirim - ES.";(28) 35268841;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil;;-20.8386016404256;-41.1468730587512
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEB JOSE PINTO;32070632;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA PEDRO VIVACQUA, S/N, S/N ITAOCA. 29325-980 Cachoeiro de Itapemirim - ES.";(28) 35391529;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil;Atendimento Educacional Especializado;-20.7306816666667;-41.12923
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEB CARIM TANURE;32070640;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA ALFREDO MARTINS AMARAL, 101 BAIMINAS. 29305-430 Cachoeiro de Itapemirim - ES.";(28) 35184130;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-20.8605746;-41.1028391
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEB ABIGAIL DOS SANTOS SIMOES;32070659;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Pública;"AVENIDA ANTHERO SOARES, S/N, S/N PACOTUBA. 29323-980 Cachoeiro de Itapemirim - ES.";(28) 35397019;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-20.764455;-41.2733161
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEB HYLSEN DARCY PERIM;32070667;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA FERNANDO DE ABREU, S/N, BURARAMA. 29327-980 Cachoeiro de Itapemirim - ES.";(28) 35393003;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-20.68071122;-41.34777639
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEB NORMILIA DA CUNHA DOS SANTOS;32070675;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA LOURIVAL DA SILVA, 26 ZUMBI. 29302-220 Cachoeiro de Itapemirim - ES.";(28) 35219956;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil;;-20.8511948;-41.1340045
ESCOLA PARALISADA;EMEB ANGELICA MAGNAGO LACHINE;32070683;ES;Cachoeiro de Itapemirim;Urbana;Não Informado;Pública;"AVENIDA FREDERICO AUGUSTO COSER, 37 AEROPORTO. 29314-045 Cachoeiro de Itapemirim - ES.";(28) 35214618;Municipal;Não Informado;Não;;;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEB AUREA BISPO DEPES;32070691;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA DR OSIRIS ALMEIDA DE FREITAS, 59 VILA RICA. 29301-020 Cachoeiro de Itapemirim - ES.";(28) 35228353;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil;Atendimento Educacional Especializado;-20.8397549;-41.1274837
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEB SIRDA ROCHA DOS SANTOS;32071612;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA OLGA CONTARINI, 09 NOSSA SENHORA DE FATIMA. 29308-624 Cachoeiro de Itapemirim - ES.";(28) 35228135;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil;;-20.8377757;-41.1113487
ESCOLA PARALISADA;EMEB SANTA TEREZINHA;32072520;ES;Cachoeiro de Itapemirim;Urbana;Não Informado;Pública;"VARGEM GRANDE DE SOTURNO, 29321-000 Cachoeiro de Itapemirim - ES.";(28) 35241885;Municipal;Não Informado;Não;;;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEB MARIO AUGUSTO ROCHA;32072538;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA GASTAO PIMENTA COELHO, 58 ILHA DA LUZ. 29309-830 Cachoeiro de Itapemirim - ES.";(28) 35228120;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-20.8366270844955;-41.1210198619231
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEB AURORA ESTELLITA HERKENHOFF;32072546;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA CARIRIS, 69 AQUIDABAN. 29308-210 Cachoeiro de Itapemirim - ES.";(28) 35227955;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;Atendimento Educacional Especializado;-20.8419445;-41.1166401
ESCOLA PARALISADA;EMEB PROF PAULO ESTELLITA HERKENHOFF;32072554;ES;Cachoeiro de Itapemirim;Urbana;Não Informado;Pública;"RUA ALVARO RAMOS, SN RECANTO. 29303-040 Cachoeiro de Itapemirim - ES.";(28) 35228378;Municipal;Não Informado;Não;;;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEB GOVERNADOR EURICO VIEIRA DE RESENDE;32072562;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA PROJETADA DOIS, 1 ZUMBI. 29302-059 Cachoeiro de Itapemirim - ES.";(28) 35228150;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;Atendimento Educacional Especializado;-20.85275884;-41.1306695
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEB REV JADER GOMES COELHO;32072570;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Pública;"AVENIDA DOMINGOS ALCINO DADALTO, 271 TERREO. I B C. 29315-314 Cachoeiro de Itapemirim - ES.";(28) 35268824;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado;-20.8543563;-41.1501458
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEB DR PEDRO NOLASCO TEIXEIRA REZENDE;32073992;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA EDMUNDO DOS SANTOS, 60 60. PARAISO. 29304-150 Cachoeiro de Itapemirim - ES.";(28) 35216520;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil;Atendimento Educacional Especializado;-20.8633304;-41.1237138
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEB MARIA DAS DORES PINHEIRO AMARAL;32076681;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA EUCLIDES BAPTISTA GOMES, 55 VALAO. ELPIDIO VOLPINI. 29309-705 Cachoeiro de Itapemirim - ES.";(28) 35228657;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";"Atendimento Educacional Especializado, Atividade Complementar";-20.8261334756389;-41.1295647639781
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEB JACOMO SILOTTI;32077106;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA PAULO BABISKI, S/Nº VARGEM GRANDE DE SOTURNO. 29321-000 Cachoeiro de Itapemirim - ES.";(28) 35242354;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado;-20.7711099;-41.067145
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEB PROFª IDALINA CUNHA MORAES;32077114;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA PROFESSORA EDITH SANTANA MACHADO, 55/59 ZUMBI. 29302-190 Cachoeiro de Itapemirim - ES.";(28) 35228595;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-20.85212763;-41.13373806
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEB ALAIR TURBAY BAIAO;32077190;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA MILETO LOUZADA, 15 OTTON MARINS. 29301-807 Cachoeiro de Itapemirim - ES.";(28) 35212262;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil;;-20.8474229;-41.1361695
ESCOLA PARALISADA;EMEB PROF MANOEL GONCALVES MACIEL;32077203;ES;Cachoeiro de Itapemirim;Urbana;Não Informado;Pública;"RUA DONA BIBIANA, SANTA HELENA. 29307-015 Cachoeiro de Itapemirim - ES.";(28) 35182347;Municipal;Não Informado;Não;;;;;;
ESCOLA PARALISADA;EMEB RAUL SAMPAIO COCCO;32077211;ES;Cachoeiro de Itapemirim;Urbana;Não Informado;Pública;"RUA GILVAM ALMEIDA, S/N AGOSTINHO SIMONATO. 29311-736 Cachoeiro de Itapemirim - ES.";(28) 35268848;Municipal;Não Informado;Não;;;;;-20.84448;-41.14944
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEB PROFª THEREZA VALIATTI SARTORIO;32077262;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA MANOEL FELIPE SOBRINHO, 33 BOA ESPERANCA. 29312-428 Cachoeiro de Itapemirim - ES.";(28) 35268765;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";Atendimento Educacional Especializado;-20.8512971;-41.1556317
ESCOLA PARALISADA;EMEB ENA COELHO DA SILVA;32077270;ES;Cachoeiro de Itapemirim;Urbana;Não Informado;Pública;"RUA PORFIRIO BIAZATTI, S/N ELPIDIO VOLPINI. 29309-780 Cachoeiro de Itapemirim - ES.";(28) 35227948;Municipal;Não Informado;Não;;;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEB PE GINO ZATELLI;32077807;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA GERALDO AMBROSIO, 138 DR GILSON CARONE. 29310-540 Cachoeiro de Itapemirim - ES.";(28) 35268747;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-20.8391399;-41.1476034
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;IFES - CAMPUS CACHOEIRO DE ITAPEMIRIM;32079583;ES;Cachoeiro de Itapemirim;Rural;A escola não está em área de localização diferenciada;Pública;"ROD. ES 482, CACHOEIRO X ALEGRE, KM 6,5., S/N CAIXA POSTAL 727. MORRO GRANDE. 29311-970 Cachoeiro de Itapemirim - ES.";(28) 35269000;Federal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Ensino Médio, Educação Profissional";Atendimento Educacional Especializado;-20.8032603616805;-41.155117206
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;SENAI ES - CENTRO DE EDUCACAO PROFISSIONAL AUREO VIANNA MAMERI;32079702;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Privada;"AVENIDA JONES DOS SANTOS NEVES, 975 ALTO MONTE CRISTO. 29312-535 Cachoeiro de Itapemirim - ES.";(28) 35224015;Privada;Particular;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Profissional;;-20.8482127208204;-41.1492129683574
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEB PROFª CELY SANTOS DE OLIVEIRA;32079753;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA EULINA JACCOND DE ANDRADE, 73 ALTO MONTE CRISTO. 29312-527 Cachoeiro de Itapemirim - ES.";(28) 35268849;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-20.8487157;-41.1514839
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;COLEGIO EQUIPE CACHOEIRENSE;32080050;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Privada;"RUA MOREIRA, 208 INDEPENDENCIA. 29306-320 Cachoeiro de Itapemirim - ES.";(28) 30274232;Privada;Particular;Não;Sim;Até 50 matrículas de escolarização;Ensino Médio;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;IPES - ESCOLA DE SAUDE;32081499;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Privada;"RUA MANOEL FONSECA, 15 FERROVIARIOS. 29308-010 Cachoeiro de Itapemirim - ES.";(28) 35228132;Privada;Particular;Não;Sim;Entre 201 e 500 matrículas de escolarização;;;-20.8456131;-41.11349949
